Ident;Bezeichnung;Strasse;PLZ;Ort;Tel;Email;Lat;Lng;Image
32;Brillen-Plum-Kontaktlinsen;Hauptstr. 267;44649;Herne;0 23 25 - 7 77 74;optik-plum@euronet-server.com;515.380.394;7.219.985;images/members/Brillen_Plum_Kontaktlinsen.webp
33;Blickfang e.K.;Esseler Str. 2;45739;Oer-Erkenschwick;0 23 68 - 9 62 78 00;info@blickfang-oer.de;5.163.727.951.049.800;7.240.177.631.378.170;images/members/Blickfang_e_K.webp
35;Optik Motz;K�nigsberger Ring 2a;65239;Hochheim am Main;0 61 46 -  99 45;info@optik-metz.de;50.017.126;8.346.030;images/members/Optik_Motz.webp
36;Optik Zierke;Hauptstraße 74;52379;Langerwehe; 0 24 23 - 51 98;hilka.zierke@optik-zierke.de;50.801.983;63.681.233;images/members/Optik_Zierke.webp
37;Brillenmacher Optik;Moltkeplatz 4;53173;Bonn;02 28 - 36 49 99;Info@brillenmacher-bonn.de;50.685.444;7.155.397;images/members/Brillenmacher_Optik.webp
39;BESSER SEHEN KRUMM ;Wittgensteiner Str. 123;57271;Hilchenbach;0 27 33 - 6 93 20;info@besser-sehen-krumm.de;509.935.863;8.107.365;images/members/BESSER_SEHEN_KRUMM.webp
40;Optik Ziel;Heilig-Geist-Str. 24;58135;Hagen;0 23 31 - 90 27 00;info@optik-ziel.de;513.582.945;7.473.296;images/members/Optik_Ziel.webp
41;Weinkauf & Sohn Sehen und Hören GmbH;Löhrstr. 10 - 12;56068;Koblenz;02 61 - 1 50 81;buero@weinkaufundsohn.de;503.533.278;75.943.951;images/members/Weinkauf_Sohn_Sehen_und_Hoeren_GmbH.webp
42;Alban Holl GmbH;Pickardstr. 23;66346;P�ttlingen;0 68 98 - 6 72 64;info@optik-holl.de;494.854.797;62.677.834;images/members/Alban_Holl_GmbH.webp
43;Lennartz Augenoptik;Markt 8;8468;Reichenbach;0 37 65 - 6 70 11;info@lennartz-augenoptik.de;506.219.793;123.050.884;images/members/Lennartz_Augenoptik.webp
44;Optiker Meyer;Schwartauer Allee 1;23554;L�beck;04 51 - 4 17 40;info@optiker-meyer.de;53.866.444;10.684.738;images/members/Optiker_Meyer.webp
45;OptimalSehen;Fliegender Hollänader 9;24159;Kiel;04 31 - 26 09 09 50;info@optimalsehen.com;543.227.085;10.135.555;images/members/OptimalSehen.webp
46;Deubner moderne Augenoptik GmbH;Vor dem Schlosse 16;99947;Bad Langensalza;0 36 03 - 8 61 70;info@deubner-augenoptik.de;511.082.267;106.464.452;images/members/Deubner_moderne_Augenoptik_GmbH.webp
47;Wipfler Augenoptik;Lammstra�e 19;79312;Emmendingen;0 76 41 - 53 131;info@wipfler-augenoptik.de;48.121.990;7.847.430;images/members/Wipfler_Augenoptik.webp
48;Augen und Sehen Henze;Pirckheimerstr. 61;90408;N�rnberg;0 911 - 3 66 80 855;info@augeundsehen-henze.de;49.452.103;11.076.665;images/members/Augen_und_Sehen_Henze.webp
