Ident;Bezeichnung;Strasse;PLZ;Ort;Tel;Email;Lat;Lng;Image;Website;
18;Low Vision Cottbus;Friedrich-Ebert-Str. 16;3044;Cottbus;03 55 - 78 40 75 65;kontakt@lowvisioncottbus.de;517.567.447;143.357.307;images/members/Low_Vision_Cottbus.webp;https://lowvisioncottbus.de;
19;City Optik Scharnbeck;Brandenburger Straße 46;14467;Potsdam;03 31 - 29 34 48;info@scharnbeck-optik.de;524.009.309;130.591.397;images/members/City_Optik_Scharnbeck.webp;https://scharnbeck-optik.de;
20;lux-Augenoptik;Fischerstr. 12;16515;Oranienburg;0 33 01 - 30 54;service@lux-augenoptik.de;527.529.379;132.457.591;images/members/lux_Augenoptik.webp;https://lux-augenoptik.de;
21;Augenoptik Berger Thieß;Schicklerstraße 12;16225;Eberswalde; 0 33 34 - 2 45 06;v.thiess@berger-optik.de;528.351.496;137.997.011;images/members/Augenoptik_Berger_Thiess.webp;https://berger-optik.de;
22;Gothmann Optik Akustik;Parkstr. 7;27580;Bremerhaven;04 71 - 8 16 26;info@gothmann-optik.de;535.522.264;85.865.509;images/members/Gothmann_Optik_Akustik.webp;https://gothmann-optik.de;
23;Optiker Greten GmbH;Dobbenweg 3;28203;Bremen;04 21 - 70 09 31;info@optiker-greten.de;530.758.196;88.071.646;images/members/Optiker_Greten_GmbH.webp;https://optiker-greten.de;
24;Gaida Optik & Akustik;Von-Brentano-Str. 10;63073;Offenbach/EKZ Bieber-West;0 69 - 89 15 04;info@gaida-optik.de;501.055.002;87.610.698;images/members/Gaida_Optik_Akustik.webp;https://gaida-optik.de;
25;Optiker Carl Müller;Steinweg 12;60313;Frankfurt;0 69 - 91 33 53-0;kontakt@optikercarlmueller.com;501.106.444;86.820.917;images/members/Optiker_Carl_Mueller.webp;https://optikercarlmueller.com;
27;Optik Maack OHG;Marktstr. 14;21423;Winsen/Luhe;0 41 71 - 46 08;info@optik-maack.de;533.636.474;102.059.206;images/members/Optik_Maack_OHG.webp;https://optik-maack.de;
28;Akustik-Optik Huth;Deichstr. 4;27318;Hoya;0 42 51 - 26 15;joerg.windler@huth-hoya.de;52.806.392.669.677.700;9.135.110.855.102.530;images/members/Akustik_Optik_Huth.webp;https://huth-hoya.de;
29;Brillen Studio Kleine-Flaßbeck GmbH;Dorfstr. 8;33739;Bielefeld;0 52 06 - 25 41;joellenbeck@brillen-studio.net;520.191.005;8.531.007;images/members/Brillen_Studio_Kleine_Flassbeck_GmbH.webp;https://brillen-studio.de;
30;Augenoptik Möller e. K.;Grünstr. 11;42551;Velbert;0 20 51 - 5 30 42;info@optik-moeller.de;513.406.713;70.439.912;images/members/Augenoptik_Moeller_e_K.webp;;
31;Optik Siewert e.K.;Siegburgstr. 19;44359;Dortmund-Mengede;02 31 - 33 93 10;info@optik-siewert.de;515.703.117;73.744.529;images/members/Optik_Siewert_e_K.webp;https://optik-siewert.de;
32;Brillen-Plum-Kontaktlinsen;Hauptstr. 267;44649;Herne;0 23 25 - 7 77 74;optik-plum@euronet-server.com;515.380.394;7.219.985;images/members/Brillen_Plum_Kontaktlinsen.webp;https://optik-plum.de;
33;Blickfang e.K.;Esseler Str. 2;45739;Oer-Erkenschwick;0 23 68 - 9 62 78 00;info@blickfang-oer.de;5.163.727.951.049.800;7.240.177.631.378.170;images/members/Blickfang_e_K.webp;https://blickfang-oer.de;
35;Optik Metz;Königsberger Ring 2a;65239;Hochheim am Main;0 61 46 -  99 45;info@optik-metz.de;50.017.126;8.346.030;images/members/Optik_Motz.webp;https://optik-metz.de;
36;Optik Zierke;Hauptstraße 74;52379;Langerwehe; 0 24 23 - 51 98;hilka.zierke@optik-zierke.de;50.801.983;63.681.233;images/members/Optik_Zierke.webp;https://optik-zierke.de;
37;Brillenmacher Optik;Moltkeplatz 4;53173;Bonn;02 28 - 36 49 99;Info@brillenmacher-bonn.de;50.685.444;7.155.397;images/members/Brillenmacher_Optik.webp;https://brillenmacher-bonn.de;
39;BESSER SEHEN KRUMM ;Wittgensteiner Str. 123;57271;Hilchenbach;0 27 33 - 6 93 20;info@besser-sehen-krumm.de;509.935.863;8.107.365;images/members/BESSER_SEHEN_KRUMM.webp;https://besser-sehen-krumm.de;
40;Optik Ziel;Heilig-Geist-Str. 24;58135;Hagen;0 23 31 - 90 27 00;info@optik-ziel.de;513.582.945;7.473.296;images/members/Optik_Ziel.webp;https://optik-ziel.de;
41;Weinkauf & Sohn Sehen und Hören GmbH;Löhrstr. 10 - 12;56068;Koblenz;02 61 - 1 50 81;buero@weinkaufundsohn.de;503.533.278;75.943.951;images/members/Weinkauf_Sohn_Sehen_und_Hoeren_GmbH.webp;https://weinkaufundsohn.de;
42;Alban Holl GmbH;Pickardstr. 23;66346;Püttlingen;0 68 98 - 6 72 64;info@optik-holl.de;494.854.797;62.677.834;images/members/Alban_Holl_GmbH.webp;https://optik-holl.de;
43;Lennartz Augenoptik;Markt 8;8468;Reichenbach;0 37 65 - 6 70 11;info@lennartz-augenoptik.de;506.219.793;123.050.884;images/members/Lennartz_Augenoptik.webp;https://lennartz-augenoptik.de;
44;Optiker Meyer;Schwartauer Allee 1;23554;Lübeck;04 51 - 4 17 40;info@optiker-meyer.de;53.866.444;10.684.738;images/members/Optiker_Meyer.webp;https://optiker-meyer.de;
45;OptimalSehen;Fliegender Hollänader 9;24159;Kiel;04 31 - 26 09 09 50;info@optimalsehen.com;543.227.085;10.135.555;images/members/OptimalSehen.webp;https://kiel-optiker.de;
46;Deubner moderne Augenoptik GmbH;Vor dem Schlosse 16;99947;Bad Langensalza;0 36 03 - 8 61 70;info@deubner-augenoptik.de;511.082.267;106.464.452;images/members/Deubner_moderne_Augenoptik_GmbH.webp;https://deubner-augenoptik.de;
47;Wipfler Augenoptik;Lammstraße 19;79312;Emmendingen;0 76 41 - 53 131;info@wipfler-augenoptik.de;48.121.990;7.847.430;images/members/Wipfler_Augenoptik.webp;https://wipfler-augenoptik.de;
48;Augen und Sehen Henze;Pirckheimerstr. 61;90408;Nürnberg;0 911 - 3 66 80 855;info@augeundsehen-henze.de;49.452.103;11.076.665;images/members/Augen_und_Sehen_Henze.webp;https://augeundsehen-henze.de;
49;Brillenhaus Grimmen;Bahnhofstraße 51;18507;Grimmen;028326 -2904;info@brillenhaus-grimmen.de;54.112.112;13.039.680;images/members/Brillenhaus_Grimmen.webp;https://brillenhaus-mv.de;
50;Brillenhaus Greifswald;Lange Straße 74;17489;Hansestadt Greifswald;03834 - 855 700;info@brillenhaus-greifswald.de;54.096.091;13.378.955;images/members/Brillenhaus_Greifswald.webp;https://brillenhaus-mv.de;
51;Brillenhaus Stralsund;Ossenreyerstraße 59;18439;Hansestadt Stralsund;03831 - 44 588 08;info@brillenhaus-stralsund.de;54.314.479;13.090.562;images/members/Brillenhaus_Stralsund.webp;https://brillenhaus-mv.de;
52;Brillenhaus Demmin;Clara-Zetkin-Straße 31;3998;Hansestadt Demmin;03998 - 28 58 692;info@brillenhaus-demmin.de;53.906.669;13.039.809;images/members/Brillenhaus_Demmin.webp;https://brillenhaus-mv.de;
